,tweetid,tweets
0,1554616237174431750,@Teslarati @YahooFinance @PeteButtigieg @Tesla @JohnnaCrider1 Cool
1,1554616046040059909,The ratio of digital to biological compute is growing fast. Worth tracking.
2,1554596132281585664,@SirineAti A *successful* orbital flight is probably between 1 and 12 months from now
3,1554595742748229634,@GalaxyHeroesGHC X
4,1554595528276590595,@RationalEtienne 🤣💯
5,1554588005511434240,Just came across this pretty good CNBC piece on SpaceX &amp; Starship https://t.co/RELYzC40M9
6,1554548602688749576,"@PPathole That estimate seems high, but the point is valid"
7,1554335028313718784,Worth reading. This is a close match for my philosophy. https://t.co/cWEM6QBobY
8,1554230257997209601,Still time to vote! https://t.co/ZbFWv0pkgG
9,1554219847898333184,https://t.co/2Ck4z96NFM
